@relation data

@attribute Class {DCIC,Fettgewebe,Gef‰ﬂ,Kalk,Mikrokalk,Nerv,'Normales Mammaepithel',Stroma,Tumor}
@attribute 'H - Q25' numeric
@attribute 'H - Median' numeric
@attribute 'H - Q75' numeric
@attribute 'E - Q25' numeric
@attribute 'E - Median' numeric
@attribute 'E - Q75' numeric
@attribute CountCores numeric
@attribute CountLumina numeric
@attribute MidCoresSize numeric
@attribute MeanCoresSize numeric
@attribute Q25CoresSize numeric
@attribute Q75CoresSize numeric
@attribute MidLuminaSize numeric
@attribute MeanLuminaSize numeric
@attribute Q25LuminaSize numeric
@attribute Q75LuminaSize numeric
@attribute DensityCores numeric
@attribute MidFormFactorCores numeric
@attribute MeanFormFactorCores numeric
@attribute Q25FormFactorCores numeric
@attribute Q75FormFactorCores numeric
@attribute MidFormFactorLuminaWithSize numeric
@attribute MeanFormFactorLuminaWithSize numeric
@attribute Q25FormFactorLuminaWithSize numeric
@attribute Q75FormFactorLuminaWithSize numeric
@attribute MidDensityLuminaCoresInNear numeric
@attribute MeanDensityLuminaCoresInNear numeric
@attribute Q25DensityLuminaCoresInNear numeric
@attribute Q75DensityLuminaCoresInNear numeric
@attribute MidDensityFormFactorLuminaCoresInNear numeric
@attribute MeanDensityFormFactorLuminaCoresInNear numeric
@attribute Q25DensityFormFactorLuminaCoresInNear numeric
@attribute Q75DensityFormFactorLuminaCoresInNear numeric

@data
Gef‰ﬂ,1,19,45,28,61,114,2385,19080,301,225,169,382,9364,16320,2409,16320,2385,19,18,15,22,33,37,30,37,602,1020,185,1020,114378,221319,7437,221319
Gef‰ﬂ,0,0,19,50,65,83,2180,37062,448,350,265,499,27432,27432,27432,27432,2180,22,20,17,24,453,453,453,453,1613,1613,1613,1613,48757,48757,48757,48757
Gef‰ﬂ,0,0,6,6,20,47,12930,478431,568,574,351,686,426066,426066,426066,426066,12930,21,20,17,22,10996,10996,10996,10996,47340,47340,47340,47340,917125,917125,917125,917125
Gef‰ﬂ,0,20,51,29,61,84,2112,5913,294,206,199,372,2878,2050,801,3693,2112,22,20,17,29,38,8,5,38,291,292,199,335,22780,12177,10807,13456
Gef‰ﬂ,0,16,41,21,50,93,3382,17755,325,292,179,358,9391,14425,2221,19175,3382,22,19,16,25,59,72,13,147,687,801,194,1597,55729,80109,25980,103906
Gef‰ﬂ,0,0,12,32,68,111,3628,25399,517,424,225,713,14959,26523,4786,27606,3628,24,21,18,33,52,74,20,109,1071,1150,368,2652,146669,214018,43786,322592
Gef‰ﬂ,0,0,7,55,75,93,3567,117719,372,374,193,461,84216,84216,84216,84216,3567,21,20,16,24,226,226,226,226,2807,2807,2807,2807,521014,521014,521014,521014
Gef‰ﬂ,2,28,64,60,88,111,2101,10021,364,259,184,450,1946,1143,795,1635,2101,22,20,16,27,20,6,4,10,168,89,78,190,12273,9123,6083,14947
Gef‰ﬂ,0,6,21,11,25,60,8137,100443,345,261,132,447,76565,905,636,1409,8137,26,24,18,32,125,6,2,12,703,185,107,327,212202,17225,8823,35792
Gef‰ﬂ,1,27,75,12,25,68,2330,10254,263,163,114,276,6449,7367,1257,8767,2330,25,23,20,32,66,58,9,68,388,334,125,584,21017,17996,8224,31345
Gef‰ﬂ,0,0,7,14,32,69,3297,16485,332,330,216,468,13568,13568,13568,13568,3297,17,16,16,19,141,141,141,141,2713,2713,2713,2713,129696,129696,129696,129696
Gef‰ﬂ,0,16,49,29,64,86,2439,6709,315,265,205,449,3419,5851,747,6363,2439,21,19,15,25,39,11,9,137,338,531,124,578,51919,21942,13361,168517
Gef‰ﬂ,0,0,8,24,40,59,2895,11583,220,280,175,324,10199,10199,10199,10199,2895,21,20,20,26,262,262,262,262,2549,2549,2549,2549,49501,49501,49501,49501
Gef‰ﬂ,0,0,12,16,34,59,2626,84036,285,239,150,349,71186,71186,71186,71186,2626,24,19,17,31,1595,1595,1595,1595,2737,2737,2737,2737,61078,61078,61078,61078
Gef‰ﬂ,0,9,31,30,63,96,5582,28207,430,326,215,566,15124,1033,742,2946,5582,24,22,18,28,14,6,3,8,446,206,130,331,212113,26768,11183,104670
Gef‰ﬂ,7,38,90,27,77,112,899,4046,287,198,146,274,1364,1543,1186,1543,899,21,18,16,24,16,17,15,17,151,171,131,171,6389,8310,4468,8310
Gef‰ﬂ,0,8,32,50,88,119,4914,13833,383,339,207,454,4630,1169,666,2427,4914,23,20,17,27,14,7,5,17,733,161,133,394,123240,15054,5850,71123
Gef‰ﬂ,6,38,69,20,68,103,1754,10529,534,249,113,421,3800,2949,1135,7317,1754,37,26,21,46,28,37,6,41,307,173,141,609,24075,11580,6794,53851
Gef‰ﬂ,7,39,88,40,76,108,1181,3248,450,444,158,547,1233,1239,933,2179,1181,23,21,16,23,7,10,5,10,116,112,103,198,11047,13941,4828,20776
Gef‰ﬂ,0,20,60,43,79,101,2059,5002,324,241,137,474,1740,654,524,2392,2059,20,19,17,24,11,9,2,13,182,104,74,302,13757,7918,7105,24341
Gef‰ﬂ,1,24,55,51,101,124,2175,10877,256,229,69,406,2856,3602,2110,3602,2175,20,18,17,25,23,24,22,24,391,422,360,422,23115,26250,19980,26250
Gef‰ﬂ,0,17,62,14,46,87,1602,6008,351,261,141,511,3328,1714,710,3382,1602,29,25,18,29,29,11,6,13,179,143,47,244,12829,15972,4108,25114
Gef‰ﬂ,0,0,23,74,113,137,3770,24840,367,264,153,506,5827,1289,844,2666,3770,24,20,17,28,17,8,4,11,327,204,150,411,59373,20767,8665,54406
Gef‰ﬂ,13,31,70,37,56,80,2273,7956,631,591,475,621,4236,4381,1620,10035,2273,29,27,20,36,17,22,10,28,409,405,365,716,51430,36469,36214,126581
Gef‰ﬂ,0,0,10,25,45,73,4160,33284,360,305,147,412,27401,27401,27401,27401,4160,23,21,19,29,728,728,728,728,3425,3425,3425,3425,64450,64450,64450,64450
Gef‰ﬂ,12,30,52,27,56,104,3586,13630,449,421,221,652,6644,6066,1618,11694,3586,23,21,17,26,44,35,13,75,658,404,404,1063,66061,45294,16325,83167
Gef‰ﬂ,4,18,39,76,98,116,3252,19838,414,308,206,587,2928,1760,1073,4161,3252,24,21,18,30,13,13,7,20,278,272,134,414,46248,10970,7440,55588
